TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
RSID3;9,71;;11,24;-0,30;0,10;44,54;-499,55;19,62;-0,44;-2,63;-2,18;;2,21;-0,14;-0,16;0,33;-2,70;0,92;-132,00;-0,34;1,34;0,05;-42,64;;2.113.453,48;-32,28;0,87;-0,11;169.646.502,93
RSUL3;0,00;;0,00;0,00;0,00;37,28;32,26;-2,92;0,00;0,85;0,07;;0,00;0,00;0,00;0,45;-69,78;-2,41;1.247,87;-0,03;1,03;0,82;11,33;;;-14,03;-9,79;0,00;49.200.000,00
RSUL4;205,00;;-20,93;-14,61;0,50;37,28;32,26;-2,92;1,90;0,85;0,07;;0,61;-1,27;-0,75;0,45;-69,78;-2,41;1.247,87;-0,03;1,03;0,82;11,33;;52.940,10;-14,03;-9,79;0,16;49.200.000,00
SANB11;38,79;2,66;10,35;1,71;0,15;16,13;7,82;14,15;18,75;18,78;;;1,47;-0,31;-0,18;0,26;16,53;1,42;;0,09;0,91;0,10;-2,12;6,46;123.717.154,44;22,64;3,74;-0,72;145.546.487.699,91
SANB3;18,71;2,61;10,02;1,66;0,14;16,13;7,82;14,15;18,14;18,78;;;1,42;-0,30;-0,17;0,26;16,53;1,42;;0,09;0,91;0,10;-2,12;6,46;1.080.213,44;11,32;1,87;-0,69;145.546.487.699,91
SANB4;20,01;2,69;10,71;1,77;0,15;16,13;7,82;14,15;19,39;18,78;;;1,52;-0,32;-0,18;0,26;16,53;1,42;;0,09;0,91;0,10;-2,12;6,46;1.462.992,56;11,32;1,87;-0,74;145.546.487.699,91
SAPR11;21,68;4,59;6,56;0,94;0,50;59,97;32,72;20,76;4,16;5,95;1,77;0,40;1,36;21,26;-0,57;1,21;14,35;7,55;11,34;0,53;0,47;0,36;10,07;17,84;46.150.147,56;22,97;3,30;-0,85;6.564.676.774,54
SAPR3;4,38;4,21;6,63;0,95;0,50;59,97;32,72;20,76;4,20;5,95;1,77;0,40;1,38;21,48;-0,58;1,21;14,35;7,55;11,34;0,53;0,47;0,36;10,07;17,84;2.647.809,88;4,59;0,66;-0,86;6.564.676.774,54
SAPR4;4,35;4,64;6,61;0,95;0,50;59,97;32,72;20,76;4,20;5,95;1,77;0,40;1,37;21,43;-0,58;1,21;14,35;7,55;11,34;0,53;0,47;0,36;10,07;17,84;24.182.256,36;4,59;0,66;-0,85;6.564.676.774,54
SBFG3;27,48;;-58,39;3,38;1,06;43,63;-3,02;-4,68;-90,47;-109,37;-17,67;0,66;2,74;4,58;-2,27;1,78;-5,78;-1,82;-4,32;0,31;0,69;0,39;;;50.810.689,80;8,06;-0,47;0,43;6.673.740.492,47
SBSP3;41,28;3,33;29,02;1,24;0,56;37,18;25,24;5,47;6,29;9,31;2,99;0,59;1,59;52,25;-0,64;1,09;4,27;1,93;10,34;0,45;0,55;0,35;8,73;12,66;174.015.633,84;33,35;1,42;-0,41;28.386.164.859,57
SCAR3;38,85;0,16;25,65;1,44;0,73;80,17;64,73;25,73;10,20;14,74;4,54;0,64;6,60;6,03;-0,90;2,73;5,61;2,84;5,87;0,51;0,49;0,11;-6,59;-11,47;327.465,80;26,95;1,51;22,58;2.240.207.977,20
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;13,39;2,45;10,36;1,20;0,55;53,56;25,05;13,20;5,46;5,18;-0,29;-0,06;1,37;2,70;-0,85;2,41;11,57;5,34;13,32;0,46;0,54;0,40;4,15;0,49;12.235.667,32;11,08;1,28;0,49;1.711.996.748,00
SEQL3;26,76;;488,81;8,35;2,50;21,58;4,38;0,70;78,62;83,30;4,35;0,46;3,44;9,02;-5,15;2,16;1,71;0,51;3,30;0,30;0,70;0,73;;;14.194.663,16;3,18;0,05;-2,46;3.449.582.545,95
SGPS3;7,52;;-1,17;0,34;0,12;32,98;3,20;-20,91;7,62;23,69;15,96;0,71;0,24;1,39;-0,21;1,25;-29,02;-10,14;-1,12;0,35;0,65;0,49;-7,50;;843.443,60;22,12;-6,42;0,00;379.500.000,00
SHOW3;3,70;;-2,33;1,33;0,48;-37,76;-199,18;-271,46;-3,17;-2,50;0,72;-0,30;6,32;3,42;-0,93;1,40;-57,14;-20,51;-28,17;0,36;0,64;0,08;-40,82;;1.150.205,96;2,82;-1,61;-0,04;256.842.116,49
SHUL3;0,00;;0,00;0,00;0,00;22,97;13,67;13,49;0,00;7,64;1,70;0,33;0,00;0,00;0,00;2,28;19,10;7,96;7,62;0,42;0,58;0,59;10,16;24,14;;8,31;1,59;0,00;853.012.301,68
SHUL4;16,86;1,84;10,63;2,03;0,85;22,97;13,67;13,49;10,49;7,64;1,70;0,33;1,43;2,30;-2,45;2,28;19,10;7,96;7,62;0,42;0,58;0,59;10,16;24,14;3.988.289,24;8,31;1,59;0,23;853.012.301,68
SIMH3;38,05;0,45;28,34;2,43;0,31;20,60;10,50;2,81;7,59;16,64;9,02;2,88;0,80;1,31;-0,56;2,08;8,56;1,08;3,83;0,13;0,87;0,38;10,36;53,42;25.318.431,40;15,65;1,34;1,28;7.847.116.995,60
SLCE3;47,08;2,09;18,36;2,85;1,04;27,63;20,16;12,62;11,49;12,46;1,04;0,26;2,32;4,81;-2,04;1,80;15,51;5,69;10,82;0,37;0,63;0,45;17,07;33,35;52.279.436,92;16,53;2,56;0,32;8.917.940.050,00
SLED3;1,11;;-0,17;-0,13;0,21;30,89;-155,25;-170,34;-0,18;-0,78;-0,65;;0,29;-1,03;-0,38;0,68;-76,97;-125,93;142,46;-1,64;2,64;0,74;-32,61;;567.719,16;-8,60;-6,62;-0,01;50.201.916,15
SLED4;0,61;;-0,09;-0,07;0,12;30,89;-155,25;-170,34;-0,10;-0,78;-0,65;;0,16;-0,57;-0,21;0,68;-76,97;-125,93;142,46;-1,64;2,64;0,74;-32,61;;1.040.908,32;-8,60;-6,62;0,00;50.201.916,15
SMFT3;0,00;;0,00;0,00;0,00;-0,83;-31,34;-47,65;0,00;-4,06;-4,05;0,65;0,00;0,00;0,00;1,21;-24,25;-7,05;-8,74;0,29;0,71;0,15;18,59;;;110,79;-26,86;0,00;0,00
SMLS3;21,63;24,54;13,67;1,98;0,80;82,71;36,70;34,20;12,74;9,27;-3,50;-0,54;4,68;2,82;-2,95;1,63;14,51;5,83;8,72;0,40;0,60;0,17;;;75.332.742,08;10,88;1,58;-0,20;2.684.316.563,86
