TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
CPFF11;75,50;12,20;0,96;926.833,50;8,02;;;427.648.614,88;13.184,00;Ativa;
RRCI11;79,96;9,67;0,82;98.088,15;1,41;;;46.947.341,58;2.075,00;Ativa;
VTPL11;0,00;0,00;;;0,20;;;113.776.203,43;54,00;Passiva;
VVPR11;93,05;8,69;0,90;61.241,65;1,31;;;238.144.920,30;1.442,00;Ativa;
MAXR11;86,01;9,24;0,73;91.555,95;1,13;-9,25;-5,23;132.488.311,69;3.701,00;Passiva;
LKDV11;0,00;0,00;;;17,59;;;43.450.037,47;57,00;Ativa;
MORE11;79,83;10,51;0,86;942.098,90;3,55;;;216.136.581,71;10.505,00;Ativa;
SHDP11B;0,00;0,00;;;1,05;-13,71;;2.152.426.974,87;3,00;Passiva;
SHOP11;100,00;0,00;1,75;;1,26;;;84.421.175,73;12,00;Ativa;
HSML11;76,80;6,56;0,81;1.868.896,85;1,78;;;1.500.798.823,72;119.262,00;Ativa;
VIFI11;74,60;9,88;0,81;272.923,05;3,11;;;258.089.529,92;5.732,00;Ativa;
FPNG11;0,00;0,00;;;1,18;-10,68;;165.313.134,42;50,00;Ativa;
VOTS11;80,79;7,30;0,82;2.453,00;1,58;4,96;-3,89;81.570.943,51;304,00;Ativa;
PNPR11;0,00;0,00;;;8,99;;;56.779.709,32;13,00;Ativa;
LASC11;95,27;5,99;0,93;60.969,00;0,66;;;258.697.121,39;155,00;Ativa;
KNHY11;103,00;14,00;1,05;2.655.666,50;16,27;21,85;-0,80;1.399.134.770,47;9.227,00;Ativa;
HCHG11;93,98;3,09;0,99;20.177,00;3,42;;;114.331.186,97;279,00;Ativa;
XPCI11;95,49;11,13;1,00;2.369.541,15;9,05;;;628.083.893,83;46.584,00;Ativa;
HUSC11;117,91;7,63;0,90;3.715,80;0,99;;;103.632.412,85;736,00;Passiva;
AIEC11;73,53;10,34;0,73;728.306,70;5,13;;;485.070.676,94;4.060,00;Ativa;
HLOG11;101,99;7,53;0,89;51.380,00;1,23;;;485.212.436,42;3.921,00;Ativa;
RMAI11;34,72;1,50;0,31;13.425,21;0,04;;;270.930.739,68;1.143,00;Ativa;
PATC11;62,90;5,85;0,74;204.576,00;1,28;;;297.461.072,36;11.926,00;Ativa;
EQIN11;91,50;11,78;0,97;446.515,90;4,95;-35,93;;135.793.280,13;7.149,00;Ativa;
MGHT11;91,00;8,10;0,93;9.454,85;10,49;;;129.005.818,48;570,00;Ativa;
BCIA11;80,75;9,56;0,77;514.052,90;1,04;-7,64;-8,38;388.188.731,09;14.708,00;Ativa;
HSAF11;89,75;12,17;0,94;489.825,30;2,36;;;168.879.974,73;4.591,00;Ativa;
TRXB11;120,30;7,92;1,17;3.617.541,53;3,40;;;256.312.938,34;150,00;Passiva;
BLCP11;82,75;9,06;0,81;98.287,95;3,02;;;196.695.447,70;214,00;Ativa;
TSER11;101,99;4,93;1,05;1.908.267,33;2,44;;;117.322.508,82;17,00;Ativa;
OURE11;88,05;10,85;0,91;142.845,95;10,81;9,34;-0,72;83.308.960,59;4.266,00;Ativa;
SHPH11;820,00;4,01;0,99;75.960,00;0,72;-7,58;-5,12;502.782.579,31;3.044,00;Passiva;
CRFF11;69,44;8,09;0,79;33.880,70;0,64;;;60.371.437,22;1.845,00;Ativa;
EGYR11;3,90;0,00;0,31;20.081,28;0,02;;;93.189.653,95;26,00;Passiva;
VTVI11;0,00;0,00;;;11,47;;;67.787.942,93;1,00;Ativa;
GESE11B;1.520,00;8,44;0,92;;1,30;;;86.138.674,67;55,00;Passiva;
HREC11;96,92;10,73;1,03;12.260,79;0,96;;;268.722.307,16;334,00;Ativa;
VXXV11;845,00;0,00;1,52;17.763.283,75;7,45;;;28.901.721,91;6,00;Ativa;
CFHI11;0,00;0,00;;;58,06;;;80.568.851,34;53,00;Ativa;
DVFF11;93,49;1,50;1,01;76.272,10;3,87;;;101.498.148,44;344,00;Ativa;
BCRI11;107,36;13,22;1,01;1.119.712,90;12,41;10,49;-0,20;662.178.769,04;44.939,00;Ativa;
GSFI11;4,16;0,00;0,31;42.643,30;20,68;;;907.019.849,19;5.812,00;Ativa;
VILG11;99,75;7,06;0,88;3.267.959,80;5,26;;;1.708.615.548,48;142.898,00;Ativa;
SNCI11;100,08;0,78;0,99;824.461,75;0,94;;;97.184.512,91;81,00;Ativa;
RELG11;79,86;9,51;0,83;170.418,00;0,13;;;127.907.984,74;4.058,00;Ativa;
IFID11;82,96;7,69;0,93;51.614,20;0,62;;;66.519.681,46;2.204,00;Passiva;
PATB11;0,00;0,00;;;3,56;;;558.296.280,06;59,00;Ativa;
HGLG11;164,79;8,57;1,11;5.451.434,75;14,05;15,97;7,55;3.151.358.842,72;297.812,00;Ativa;
CXCE11B;49,52;20,77;0,61;162.109,15;5,90;3,14;-16,68;139.210.378,11;3.848,00;Passiva;
VSEC11;65,32;11,46;0,66;6.703,21;34,40;;;6.231.598,79;72,00;Ativa;
OULG11;56,60;11,12;0,61;130.646,25;2,12;;;230.513.211,34;6.930,00;Ativa;
MATV11;109,98;0,00;1,12;85.739,00;25,97;;;34.016.049,91;150,00;Ativa;
GCRI11;98,72;9,13;0,97;369.326,85;6,41;;;101.291.535,86;1.007,00;Ativa;
SFND11;83,07;6,63;4,64;;13,33;114,52;;17.573.170,51;54,00;Passiva;
VTXI11;0,00;0,00;;;21,04;;;3.333.042,99;2,00;Ativa;
